date,store_id,product_id,category,quantity,unit_price,total_sales
2023-05-01,1001,P123,Electronics,5,599.99,2999.95
2023-05-01,1001,P456,Home & Garden,10,49.99,499.90
2023-05-01,1002,P789,Clothing,15,29.99,449.85
2023-05-02,1001,P123,Electronics,3,599.99,1799.97
2023-05-02,1003,P101,Groceries,50,2.99,149.50
2023-05-02,1002,P202,Sporting Goods,8,79.99,639.92
2023-05-03,1003,P303,Beauty,12,15.99,191.88
2023-05-03,1001,P404,Books,20,12.99,259.80
2023-05-03,1002,P505,Toys,6,24.99,149.94
2023-05-04,1001,P123,Electronics,2,599.99,1199.98
2023-05-04,1003,P606,Automotive,4,89.99,359.96
2023-05-04,1002,P707,Jewelry,1,299.99,299.99
